Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.2998047e+01,6.32000e+00,4.08000e+00,
2.3005371e+01,6.32000e+00,4.40000e+00,
2.3012695e+01,6.32000e+00,4.08000e+00,
2.3020020e+01,6.32000e+00,4.24000e+00,
2.3027344e+01,6.24000e+00,4.40000e+00,
2.3034668e+01,6.32000e+00,4.08000e+00,
2.3041992e+01,6.32000e+00,4.40000e+00,
2.3049316e+01,6.32000e+00,4.40000e+00,
2.3056641e+01,6.32000e+00,4.08000e+00,
2.3063965e+01,6.32000e+00,4.48000e+00,
2.3071289e+01,6.32000e+00,4.32000e+00,
2.3078613e+01,6.32000e+00,4.16000e+00,
2.3085938e+01,6.32000e+00,4.56000e+00,
2.3093262e+01,6.32000e+00,4.24000e+00,
2.3100586e+01,6.32000e+00,4.40000e+00,
2.3107910e+01,6.32000e+00,4.48000e+00,
2.3115234e+01,6.32000e+00,4.16000e+00,
2.3122559e+01,6.32000e+00,4.56000e+00,
2.3129883e+01,6.32000e+00,4.56000e+00,
2.3137207e+01,6.32000e+00,4.24000e+00,
2.3144531e+01,6.32000e+00,4.72000e+00,
2.3151855e+01,6.32000e+00,4.40000e+00,
2.3159180e+01,6.32000e+00,4.40000e+00,
2.3166504e+01,6.32000e+00,4.72000e+00,
2.3173828e+01,6.32000e+00,4.40000e+00,
2.3181152e+01,6.32000e+00,4.64000e+00,
2.3188477e+01,6.32000e+00,4.72000e+00,
2.3195801e+01,6.32000e+00,4.40000e+00,
2.3203125e+01,6.40000e+00,4.72000e+00,
2.3210449e+01,6.40000e+00,4.72000e+00,
2.3217773e+01,6.40000e+00,4.48000e+00,
2.3225098e+01,6.32000e+00,4.96000e+00,
2.3232422e+01,6.32000e+00,4.56000e+00,
2.3239746e+01,6.40000e+00,4.72000e+00,
2.3247070e+01,6.40000e+00,4.96000e+00,
2.3254395e+01,6.40000e+00,4.56000e+00,
2.3261719e+01,6.40000e+00,4.80000e+00,
2.3269043e+01,6.40000e+00,4.96000e+00,
2.3276367e+01,6.40000e+00,4.56000e+00,
2.3283691e+01,6.32000e+00,5.04000e+00,
2.3291016e+01,6.40000e+00,4.80000e+00,
2.3298340e+01,6.40000e+00,4.72000e+00,
2.3305664e+01,6.40000e+00,5.12000e+00,
2.3312988e+01,6.40000e+00,4.80000e+00,
2.3320313e+01,6.40000e+00,4.88000e+00,
2.3327637e+01,6.40000e+00,5.12000e+00,
2.3334961e+01,6.48000e+00,4.72000e+00,
2.3342285e+01,6.48000e+00,5.12000e+00,
2.3349609e+01,6.40000e+00,5.12000e+00,
2.3356934e+01,6.40000e+00,4.80000e+00,
2.3364258e+01,6.40000e+00,5.20000e+00,
2.3371582e+01,6.40000e+00,5.04000e+00,
2.3378906e+01,6.40000e+00,4.96000e+00,
2.3386230e+01,6.48000e+00,5.28000e+00,
2.3393555e+01,6.40000e+00,4.96000e+00,
2.3400879e+01,6.40000e+00,5.12000e+00,
2.3408203e+01,6.40000e+00,5.28000e+00,
2.3415527e+01,6.40000e+00,4.96000e+00,
2.3422852e+01,6.40000e+00,5.28000e+00,
2.3430176e+01,6.40000e+00,5.28000e+00,
2.3437500e+01,6.40000e+00,5.04000e+00,
2.3444824e+01,6.48000e+00,5.44000e+00,
2.3452148e+01,6.48000e+00,5.12000e+00,
2.3459473e+01,6.48000e+00,5.12000e+00,
2.3466797e+01,6.48000e+00,5.52000e+00,
2.3474121e+01,6.48000e+00,5.12000e+00,
2.3481445e+01,6.48000e+00,5.36000e+00,
2.3488770e+01,6.48000e+00,5.44000e+00,
2.3496094e+01,6.48000e+00,5.12000e+00,
2.3503418e+01,6.40000e+00,5.52000e+00,
2.3510742e+01,6.48000e+00,5.44000e+00,
2.3518066e+01,6.48000e+00,5.20000e+00,
2.3525391e+01,6.40000e+00,5.68000e+00,
2.3532715e+01,6.48000e+00,5.36000e+00,
2.3540039e+01,6.48000e+00,5.44000e+00,
2.3547363e+01,6.48000e+00,5.68000e+00,
2.3554688e+01,6.48000e+00,5.28000e+00,
2.3562012e+01,6.48000e+00,5.60000e+00,
2.3569336e+01,6.48000e+00,5.68000e+00,
2.3576660e+01,6.40000e+00,5.36000e+00,
2.3583984e+01,6.48000e+00,5.76000e+00,
2.3591309e+01,6.40000e+00,5.68000e+00,
2.3598633e+01,6.40000e+00,5.44000e+00,
2.3605957e+01,6.48000e+00,5.84000e+00,
2.3613281e+01,6.48000e+00,5.60000e+00,
2.3620605e+01,6.48000e+00,5.68000e+00,
2.3627930e+01,6.40000e+00,6.00000e+00,
2.3635254e+01,6.48000e+00,5.60000e+00,
2.3642578e+01,6.40000e+00,5.92000e+00,
2.3649902e+01,6.48000e+00,5.92000e+00,
2.3657227e+01,6.48000e+00,5.68000e+00,
2.3664551e+01,6.48000e+00,6.08000e+00,
2.3671875e+01,6.48000e+00,5.84000e+00,
2.3679199e+01,6.48000e+00,5.84000e+00,
2.3686523e+01,6.48000e+00,6.16000e+00,
2.3693848e+01,6.48000e+00,5.76000e+00,
2.3701172e+01,6.48000e+00,6.00000e+00,
2.3708496e+01,6.48000e+00,6.16000e+00,
2.3715820e+01,6.48000e+00,5.84000e+00,
2.3723145e+01,6.48000e+00,6.24000e+00,
2.3730469e+01,6.48000e+00,6.16000e+00,
2.3737793e+01,6.56000e+00,5.92000e+00,
2.3745117e+01,6.48000e+00,6.40000e+00,
2.3752441e+01,6.48000e+00,6.16000e+00,
2.3759766e+01,6.48000e+00,6.08000e+00,
2.3767090e+01,6.48000e+00,6.48000e+00,
2.3774414e+01,6.56000e+00,6.08000e+00,
2.3781738e+01,6.56000e+00,6.40000e+00,
2.3789063e+01,6.48000e+00,6.48000e+00,
2.3796387e+01,6.56000e+00,6.16000e+00,
2.3803711e+01,6.56000e+00,6.64000e+00,
2.3811035e+01,6.48000e+00,6.48000e+00,
2.3818359e+01,6.56000e+00,6.32000e+00,
2.3825684e+01,6.56000e+00,6.72000e+00,
2.3833008e+01,6.56000e+00,6.40000e+00,
2.3840332e+01,6.56000e+00,6.56000e+00,
2.3847656e+01,6.56000e+00,6.88000e+00,
2.3854980e+01,6.48000e+00,6.40000e+00,
2.3862305e+01,6.56000e+00,6.80000e+00,
2.3869629e+01,6.48000e+00,6.88000e+00,
2.3876953e+01,6.48000e+00,6.48000e+00,
2.3884277e+01,6.56000e+00,7.04000e+00,
2.3891602e+01,6.56000e+00,6.80000e+00,
2.3898926e+01,6.64000e+00,6.64000e+00,
2.3906250e+01,6.64000e+00,7.20000e+00,
2.3913574e+01,6.64000e+00,6.80000e+00,
2.3920898e+01,6.64000e+00,7.04000e+00,
2.3928223e+01,6.56000e+00,7.28000e+00,
2.3935547e+01,6.56000e+00,6.80000e+00,
2.3942871e+01,6.64000e+00,7.28000e+00,
2.3950195e+01,6.56000e+00,7.28000e+00,
2.3957520e+01,6.56000e+00,6.88000e+00,
2.3964844e+01,6.64000e+00,7.44000e+00,
